y,pi,i
-0.156025328,0.095941327,5.781521739
-0.122969629,0.082784362,6.021521739
-0.176643671,0.022704979,3.101521739
-0.150717349,0.228755532,3.301521739
-0.161476947,3.94743E-06,2.251521739
0.102326356,-0.016766584,2.641521739
0.022040847,-0.017458282,2.991521739
0.026247913,-0.056304405,2.201521739
-0.169088552,-0.094591597,1.641521739
-0.122529053,-0.093052771,0.611521739
-0.282586058,-0.026504486,1.631521739
-0.357841773,0.046268456,0.851521739
-0.244123987,0.022170624,1.451521739
-0.217733329,0.046281117,1.941521739
0.134076726,0.089939847,1.491521739
0.025103985,0.072077408,1.301521739
0.247791375,0.149840612,2.231521739
0.15472369,0.240680218,2.911521739
0.387906231,0.078929322,3.481521739
0.48814536,0.206905484,4.571521739
0.493084688,0.178779124,4.251521739
0.485660235,0.045488103,3.741521739
0.253694177,0.033240578,3.171521739
0.410036734,0.208965607,3.001521739
0.272529681,0.177678984,3.011521739
-0.013616162,0.118185069,2.921521739
-0.673123951,0.059585547,2.031521739
-1.153227898,0.162822468,0.841521739
-1.082192992,0.028683089,0.621521739
-1.133978844,0.049875401,0.171521739
-1.203046996,-0.034047946,-0.848478261
-0.953498756,-0.081845637,-1.298478261
-0.742077997,0.008154617,-1.518478261
-0.589103614,-0.061698296,-2.058478261
-0.427784475,0.024638616,-2.358478261
-0.627305275,-0.02157114,-2.208478261
-0.652925168,-0.004871389,-2.238478261
-0.729987506,-0.007054094,-2.188478261
-0.446403023,-0.041981616,-2.318478261
-0.319523892,-0.057979504,-1.938478261
-0.036928037,-0.05190507,-1.028478261
-0.093445975,-0.033594405,-0.548478261
0.080860826,-0.029596183,0.171521739
-0.091504131,-0.019283455,0.701521739
-0.253521436,-0.077309825,0.721521739
-0.199630411,-0.062030985,0.521521739
-0.212773751,-0.054414139,0.321521739
-0.250007041,-0.033246103,0.031521739
0.171631067,-0.10308971,-0.008478261
0.230436325,-0.145550723,0.021521739
0.331596039,-0.04785827,0.011521739
0.282239892,0.00084039,0.111521739
0.533722067,-0.150604777,0.281521739
0.670306842,-0.113108124,0.261521739
0.581979233,-0.123628438,0.221521739
0.576171179,-0.197051316,0.211521739
0.551433542,-0.177292814,0.281521739
0.66801956,-0.105939201,0.231521739
0.926021705,-0.132296759,-0.598478261
0.828053379,-0.051373419,-0.468478261
0.744906963,-0.122516612,-0.518478261
0.852621142,-0.111083771,-0.058478261
1.169215223,-0.069571464,0.021521739
0.873817761,0.062968938,0.571521739
1.263020242,-0.022457073,1.251521739
0.9003675,0.012655557,1.241521739
0.741749737,-0.035393205,1.121521739
0.225989201,0.004145978,0.031521739
0.083030047,0.037750366,-1.308478261
-0.411097023,-0.125963263,-2.208478261
-0.6305796,-0.136736906,-3.458478261
-0.54828463,-0.128907466,-3.548478261
-0.60754766,-0.10630176,-3.528478261
-0.682755803,-0.074771877,-3.528478261
-0.932493157,-0.033521274,-4.038478261
-0.983089486,-0.001001985,-4.028478261
-0.850934136,-0.129036754,-4.058478261
-0.395173904,-0.027948466,-4.268478261
-0.155186903,-0.062567384,-4.298478261
-0.173954087,0.109328948,-4.278478261
-0.131812702,0.108523827,-4.248478261
-0.012914776,-0.001426707,-3.668478261
0.088614831,0.035548296,-3.118478261
0.278993613,0.132472778,-2.648478261
0.241266226,0.046345402,-2.238478261
0.348512228,0.13630979,-1.658478261
0.349228939,0.06033776,-1.118478261
0.638385055,0.072225996,-0.688478261
0.553456453,0.080144562,-0.288478261
0.386604741,0.034082199,-0.028478261
0.526867402,-0.116331172,-0.038478261
0.360679921,0.217377337,-0.018478260
